Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 25_level_0
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Brenden Aaronson,us USA,"MF,FW",Leeds United,eng Premier League,24,2000,37,30,2449,27.2,4,5,9,4,0,0,3,0,0.15,0.18,0.33,0.15,0.33,Matches
2,Jerome Abbey,eng ENG,MF,Wolves,eng Premier League,15,2009,1,0,17,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
3,Zach Abbott,eng ENG,DF,Nottingham,eng Premier League,19,2006,3,2,164,1.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
4,Jones El-Abdellaoui,ma MAR,"MF,FW",Celta Vigo,es La Liga,19,2006,22,4,681,7.6,2,0,2,2,0,0,0,0,0.26,0.00,0.26,0.26,0.26,Matches
5,Himad Abdelli,dz ALG,MF,Marseille,fr Ligue 1,25,1999,8,1,138,1.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
6,Himad Abdelli,dz ALG,MF,Angers,fr Ligue 1,25,1999,13,11,943,10.5,2,0,2,0,2,2,1,0,0.19,0.00,0.19,0.00,0.00,Matches
7,Ali Abdi,tn TUN,"MF,DF",Nice,fr Ligue 1,31,1993,22,13,1187,13.2,3,0,3,3,0,0,4,1,0.23,0.00,0.23,0.23,0.23,Matches
8,Salis Abdul Samed,gh GHA,MF,Nice,fr Ligue 1,25,2000,18,12,911,10.1,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
9,Saud Abdulhamid,sa KSA,MF,Lens,fr Ligue 1,26,1999,25,14,1352,15.0,2,4,6,2,0,0,4,1,0.13,0.27,0.40,0.13,0.40,Matches
10,Tay Abed,il ISR,MF,Levante,es La Liga,21,2004,7,0,93,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
11,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,32,1993,28,27,2318,25.8,1,0,1,1,0,0,7,0,0.04,0.00,0.04,0.04,0.04,Matches
